days_since_Jan1_2010,PRCP,SNOW,SNWD,TMAX,TMIN,,
375,0.11,1,0,34,28,,
376,0,0,1,36,27,,
377,0,0,0,37,26,,
378,0,0,0,37,23,,
379,0,0,0,46,28,,
380,0,0,0,42,31,,
381,0.24,0.2,0,33,29,,
382,0.19,0,0,36,30,,
383,0.02,0,0,53,35,,
384,0,0,0,44,35,,
385,0.01,0.1,0,39,20,,
386,0,0,0,28,17,,
387,0,0,0,32,18,,
388,0,0,0,32,17,,
389,0,0,0,46,29,,
390,1.52,5,0,37,33,,
391,0,0,4,37,31,,
392,0.07,0.6,4,38,30,,
393,0,0,4,37,29,,
394,0,0,3,44,27,,
395,0,0,2,37,29,,
396,0.1,0,2,38,29,,
397,0.66,0,1,52,34,,
398,0,0,1,37,29,,
399,0,0,0,42,28,,
400,0.14,0,0,42,34,,
401,0,0,0,49,36,,
402,0,0,0,50,30,,
403,0.01,0,0,41,25,,
404,0.01,0.1,0,33,19,,
405,0,0,0,34,24,,
406,0,0,0,44,22,,
407,0,0,0,47,23,,
408,0,0,0,54,32,,
409,0,0,0,70,43,,
410,0,0,0,47,33,,
411,0,0,0,58,32,,
412,0,0,0,72,43,,
413,0,0,0,77,52,,
414,0,0,0,59,39,,
415,0,0,0,50,32,,
416,0.14,0.2,0,55,30,,
417,0.07,0.2,0,37,27,,
418,0,0,0,46,25,,
419,0.06,0,0,53,31,,
420,0.27,0,0,67,37,,
421,0,0,0,49,35,,
422,0,0,0,60,36,,
423,0.66,0,0,72,42,,
424,0,0,0,47,33,,
425,0,0,0,64,34,,
426,0,0,0,41,27,,
427,0,0,0,50,30,,
428,0,0,0,60,41,,
429,1.39,0,0,58,33,,
430,0.02,0,0,48,33,,
431,0,0,0,52,32,,
432,0.04,0,0,48,36,,
433,1.41,0,0,56,46,,
434,0.02,0,0,49,39,,
435,0,0,0,58,34,,
436,0,0,0,59,39,,
437,0,0,0,53,37,,
438,0.23,0,0,51,35,,
439,0.41,0,0,57,41,,
440,0,0,0,64,43,,
441,0,0,0,80,48,,
442,0,0,0,68,47,,
443,0,0,0,54,38,,
444,0.19,0,0,70,43,,
445,0,0,0,62,49,,
446,0.43,0,0,52,44,,
447,0.05,0,0,44,37,,
448,0,0,0,49,32,,
449,0,0,0,47,32,,
450,0.02,0.2,0,46,31,,
451,0,0,0,47,31,,
452,0,0,0,51,34,,
453,0.15,0,0,48,38,,
454,0.04,0,0,42,37,,
455,0.08,0,0,50,37,,
456,0.04,0,0,52,36,,
457,0,0,0,60,40,,
458,0,0,0,85,49,,
459,0.42,0,0,72,41,,
460,0,0,0,64,36,,
461,0,0,0,69,45,,
462,0.35,0,0,51,43,,
463,0.01,0,0,51,42,,
464,0,0,0,63,49,,
465,0,0,0,84,56,,
466,0.19,0,0,72,52,,
467,0.31,0,0,59,49,,
468,0,0,0,71,46,,
469,0,0,0,65,48,,
470,0.6,0,0,63,49,,
471,0,0,0,67,47,,
472,0,0,0,74,51,,
473,0.01,0,0,68,56,,
474,0,0,0,86,52,,
475,0,0,0,65,48,,
476,0.36,0,0,50,43,,
477,0.05,0,0,70,44,,
478,0.74,0,0,85,57,,
479,0,0,0,83,58,,
480,0,0,0,83,64,,
481,0.01,0,0,80,66,,
482,0.03,0,0,77,61,,
483,0,0,0,70,54,,
484,0,0,0,68,51,,
485,0.01,0,0,61,51,,
486,0,0,0,77,55,,
487,0.02,0,0,81,62,,
488,0.56,0,0,62,46,,
489,0,0,0,68,46,,
490,0,0,0,71,46,,
491,0,0,0,72,51,,
492,0,0,0,74,54,,
493,0,0,0,73,53,,
494,0,0,0,76,52,,
495,0,0,0,77,58,,
496,0,0,0,74,54,,
497,0,0,0,64,60,,
498,0.48,0,0,67,59,,
499,0,0,0,75,62,,
500,0.19,0,0,80,61,,
501,0.01,0,0,73,63,,
502,0.2,0,0,72,62,,
503,0.12,0,0,71,58,,
504,0,0,0,72,55,,
505,0,0,0,83,57,,
506,0,0,0,81,60,,
507,0.02,0,0,83,64,,
508,0.03,0,0,87,67,,
509,0,0,0,85,65,,
510,0,0,0,92,68,,
511,0.06,0,0,86,68,,
512,0,0,0,84,66,,
513,0,0,0,83,69,,
514,0,0,0,96,71,,
515,0,0,0,98,74,,
516,0.16,0,0,98,76,,
517,0,0,0,88,69,,
518,0,0,0,81,63,,
519,0,0,0,85,61,,
520,0,0,0,82,70,,
521,0,0,0,88,66,,
522,0,0,0,90,68,,
523,0,0,0,99,72,,
524,0,0,0,102,79,,
525,0.04,0,0,94,74,,
526,0,0,0,93,74,,
527,0.07,0,0,90,71,,
528,0,0,0,81,65,,
529,0,0,0,78,64,,
530,0,0,0,84,59,,
531,0.83,0,0,83,66,,
532,0.2,0,0,88,64,,
533,0,0,0,89,69,,
534,0.01,0,0,84,75,,
535,0.34,0,0,80,67,,
536,0.01,0,0,87,70,,
537,0,0,0,90,73,,
538,0,0,0,86,76,,
539,0,0,0,90,73,,
540,0,0,0,85,72,,
541,0.01,0,0,86,67,,
542,0.01,0,0,84,70,,
543,0,0,0,95,74,,
544,0,0,0,89,74,,
545,0,0,0,88,67,,
546,0,0,0,91,69,,
547,0,0,0,95,68,,
548,0.87,0,0,94,70,,
549,0,0,0,91,73,,
550,0,0,0,91,74,,
551,0.07,0,0,86,76,,
552,0,0,0,95,73,,
553,0.6,0,0,87,75,,
554,0,0,0,92,72,,
555,0,0,0,92,73,,
556,0,0,0,95,76,,
557,0,0,0,97,77,,
558,1.05,0,0,93,74,,
559,0,0,0,85,68,,
560,0,0,0,82,69,,
561,0,0,0,86,67,,
562,0,0,0,89,72,,
563,0,0,0,93,73,,
564,0.24,0,0,97,79,,
565,0,0,0,94,77,,
566,0,0,0,99,80,,
567,0,0,0,102,83,,
568,0,0,0,102,84,,
569,0,0,0,97,84,,
570,0.2,0,0,93,78,,
571,0,0,0,95,76,,
572,0,0,0,93,78,,
573,0,0,0,95,78,,
574,0,0,0,104,80,,
575,0,0,0,97,81,,
576,0,0,0,99,80,,
577,0,0,0,100,75,,
578,0,0,0,98,74,,
579,0.28,0,0,87,76,,
580,0.01,0,0,88,75,,
581,0,0,0,88,72,,
582,0.04,0,0,93,74,,
583,0.67,0,0,97,77,,
584,0,0,0,94,76,,
585,0,0,0,95,77,,
586,0,0,0,93,75,,
587,0,0,0,89,72,,
588,0,0,0,90,70,,
589,0.41,0,0,86,74,,
590,1.37,0,0,85,69,,
591,0,0,0,86,68,,
592,0,0,0,88,72,,
593,0,0,0,90,71,,
594,0,0,0,91,74,,
595,1.61,0,0,89,69,,
596,0,0,0,88,69,,
597,0.27,0,0,90,76,,
598,0,0,0,84,70,,
599,0,0,0,81,63,,
600,0,0,0,87,65,,
601,0.42,0,0,85,71,,
602,0.01,0,0,90,70,,
603,3.33,0,0,79,72,,
604,0.5,0,0,87,71,,
605,0,0,0,81,66,,
606,0,0,0,83,63,,
607,0,0,0,84,64,,
608,0,0,0,82,66,,
609,0.16,0,0,79,68,,
610,0,0,0,82,70,,
611,0,0,0,87,73,,
612,1.36,0,0,84,65,,
613,0.9,0,0,67,64,,
614,2.82,0,0,74,64,,
615,1.39,0,0,79,71,,
616,0.46,0,0,83,71,,
617,0,0,0,84,68,,
618,0.02,0,0,84,67,,
619,0,0,0,83,65,,
620,0,0,0,83,65,,
621,0,0,0,87,68,,
622,0.03,0,0,78,54,,
623,0,0,0,66,49,,
624,0,0,0,65,56,,
625,0,0,0,68,55,,
626,0,0,0,70,60,,
627,0.16,0,0,71,64,,
628,0.02,0,0,76,64,,
629,0,0,0,77,68,,
630,0.97,0,0,72,68,,
631,0,0,0,76,66,,
632,0.07,0,0,79,69,,
633,0,0,0,80,70,,
634,0.01,0,0,78,69,,
635,0.47,0,0,80,68,,
636,0,0,0,78,62,,
637,0,0,0,76,61,,
638,0.29,0,0,61,49,,
639,0.18,0,0,52,45,,
640,0,0,0,53,46,,
641,0,0,0,70,51,,
642,0,0,0,74,53,,
643,0,0,0,69,51,,
644,0,0,0,75,51,,
645,0,0,0,75,53,,
646,0,0,0,78,53,,
647,0,0,0,83,56,,
648,0,0,0,71,62,,
649,0.44,0,0,66,64,,
650,0.72,0,0,77,64,,
651,0.25,0,0,73,56,,
652,0,0,0,71,50,,
653,0,0,0,71,50,,
654,0,0,0,69,57,,
655,0,0,0,74,54,,
656,0.5,0,0,70,61,,
657,0,0,0,68,52,,
658,0,0,0,62,47,,
659,0,0,0,62,47,,
660,0,0,0,64,43,,
661,0.13,0,0,67,49,,
662,0,0,0,68,49,,
663,0.01,0,0,68,52,,
664,0.13,0,0,66,45,,
665,0.08,0,0,52,41,,
666,1.18,0,0,42,34,,
667,0,0,0,55,35,,
668,0,0,0,56,36,,
669,0,0,0,61,44,,
670,0,0,0,60,41,,
671,0,0,0,64,44,,
672,0,0,0,59,44,,
673,0,0,0,53,38,,
674,0,0,0,59,37,,
675,0,0,0,67,40,,
676,0,0,0,68,41,,
677,0,0,0,64,42,,
678,0.06,0,0,59,46,,
679,0,0,0,50,38,,
680,0,0,0,63,33,,
681,0,0,0,64,44,,
682,0,0,0,73,54,,
683,0,0,0,68,57,,
684,0.54,0,0,59,53,,
685,0.01,0,0,53,39,,
686,0,0,0,48,34,,
687,0,0,0,55,37,,
688,0.02,0,0,65,50,,
689,0.07,0,0,64,50,,
690,0.55,0,0,61,50,,
691,0.28,0,0,64,45,,
692,0,0,0,61,38,,
693,0,0,0,63,38,,
694,0,0,0,61,39,,
695,0,0,0,72,46,,
696,0,0,0,71,51,,
697,0.41,0,0,66,47,,
698,0,0,0,51,40,,
699,0,0,0,52,38,,
700,0,0,0,55,34,,
701,0,0,0,51,35,,
702,0,0,0,55,37,,
703,0,0,0,60,42,,
704,0.24,0,0,60,55,,
705,3.1,0,0,60,37,,
706,0,0,0,45,35,,
707,0,0,0,51,34,,
708,0,0,0,47,32,,
709,0,0,0,43,29,,
710,0,0,0,46,29,,
711,0,0,0,52,30,,
712,0,0,0,50,38,,
713,0.01,0,0,63,43,,
714,0,0,0,62,43,,
715,0,0,0,43,33,,
716,0,0,0,44,32,,
717,0,0,0,52,29,,
718,0,0,0,57,45,,
719,0.12,0,0,61,47,,
720,0.53,0,0,62,46,,
721,0.29,0,0,53,44,,
722,0,0,0,46,36,,
723,0,0,0,48,34,,
724,0,0,0,50,37,,
725,0.61,0,0,55,39,,
726,0,0,0,49,35,,
727,0,0,0,44,31,,
728,0,0,0,54,35,,
729,0,0,0,62,46,,
